"Status","Name","Duration in ms","Description"
"passed","Test.TestCase.test_001_ontologymanagement.TestOntologymanagement#test__001__chuangjian","4304",""
"passed","Test.TestCase.test_008_datasourcemanage.TestSousuoShanchu#test__001__sousuo","3468",""
"passed","Test.TestCase.test_015_schedulingmanage.TestDiaoduGunali2#test__001__shitiquanliang2","5025",""
"passed","Test.TestCase.test_013_mappingmanage.TestZhishiyinghsesousuo#test__005__piliangshanchu","7098",""
"passed","Test.TestCase.test_006_datasourcemanage.TestChuangjian4#test__004__chuangjian","6664",""
"passed","Test.TestCase.test_007_datasourcemanage.TestChuangjian5#test__005__chuangjian","6822",""
"passed","Test.TestCase.test_006_datasourcemanage.TestChuangjian4#test__004__chuangjian","6636",""
"passed","Test.TestCase.test_003_datasourcemanage.TestChuangjian1#test__001__chuangjian","5544",""
"passed","Test.TestCase.test_002_ontologymanagement.TestDaochufabu#test__001__daochu","4272",""
"skipped","Test.TestCase.test_004_datasourcemanage.TestChuangjian2#test__002__chuangjian","0",""
"passed","Test.TestCase.test_017_homepage.TestZhishiyingyong#test__001__chuangjian","9734",""
"passed","Test.TestCase.test_001_ontologymanagement.TestOntologymanagement#test__001__chuangjian","4378",""
"skipped","Test.TestCase.test_005_datasourcemanage.TestChuangjian3#test__003__chuangjian","0",""
"skipped","Test.TestCase.test_004_datasourcemanage.TestChuangjian2#test__002__chuangjian","0",""
"passed","Test.TestCase.test_006_datasourcemanage.TestChuangjian4#test__004__chuangjian","7041",""
"skipped","Test.TestCase.test_004_datasourcemanage.TestChuangjian2#test__002__chuangjian","0",""
"passed","Test.TestCase.test_018_homepage.TestZhishigongchenchuagnjian2#test__001__chuangjian","11052",""
"passed","Test.TestCase.test_003_datasourcemanage.TestChuangjian1#test__001__chuangjian","5439",""
"skipped","Test.TestCase.test_005_datasourcemanage.TestChuangjian3#test__003__chuangjian","0",""
"passed","Test.TestCase.test_003_datasourcemanage.TestChuangjian1#test__001__chuangjian","5695",""
"skipped","Test.TestCase.test_004_datasourcemanage.TestChuangjian2#test__002__chuangjian","0",""
"passed","Test.TestCase.test_003_datasourcemanage.TestChuangjian1#test__001__chuangjian","5886",""
"passed","Test.TestCase.test_018_homepage.TestZhishigongchenchuagnjian2#test__001__chuangjian","11076",""
"passed","Test.TestCase.test_018_homepage.TestZhishigongchenchuagnjian2#test__001__chuangjian","11056",""
"passed","Test.TestCase.test_007_datasourcemanage.TestChuangjian5#test__005__chuangjian","7197",""
"passed","Test.TestCase.test_018_homepage.TestZhishigongchenchuagnjian2#test__001__chuangjian","11052",""
"passed","Test.TestCase.test_007_datasourcemanage.TestChuangjian5#test__005__chuangjian","6852",""
"skipped","Test.TestCase.test_004_datasourcemanage.TestChuangjian2#test__002__chuangjian","0",""
"passed","Test.TestCase.test_018_homepage.TestZhishigongchenchuagnjian2#test__001__chuangjian","11128",""
"passed","Test.TestCase.test_010_mappingmanage.TestChuangjianshiti#test__001__chuangjian","7687",""
"passed","Test.TestCase.test_013_mappingmanage.TestZhishiyinghsesousuo#test__003__shanchu","5770",""
"passed","Test.TestCase.test_016_schedulingmanage.TestDiaodusousou#test__004__shanchu","7042",""
"passed","Test.TestCase.test_007_datasourcemanage.TestChuangjian5#test__005__chuangjian","7008",""
"skipped","Test.TestCase.test_005_datasourcemanage.TestChuangjian3#test__003__chuangjian","0",""
"passed","Test.TestCase.test_014_schedulingmanage.TestDiaoduGunali#test__001__shitizengliang","4946",""
